AB034155.1	Gammainfluenzavirus influenzae - Influenza C virus (ICV), strain C/Yamagata/64	segment 7 (NS)	
AB126191.2	Gammainfluenzavirus influenzae - Influenza C virus (ICV), strain C/Ann Arbor/1/50	segment 1 (PB2)	
AB126192.2	Gammainfluenzavirus influenzae - Influenza C virus (ICV), strain C/Ann Arbor/1/50	segment 2 (PB1)	
AB126193.2	Gammainfluenzavirus influenzae - Influenza C virus (ICV), strain C/Ann Arbor/1/50	segment 3 (P3)	
AB126194.2	Gammainfluenzavirus influenzae - Influenza C virus (ICV), strain C/Ann Arbor/1/50	segment 4 (HEF)	
AB126195.1	Gammainfluenzavirus influenzae - Influenza C virus (ICV), strain C/Ann Arbor/1/50	segment 5 (NP)	
AB126196.2	Gammainfluenzavirus influenzae - Influenza C virus (ICV), strain C/Ann Arbor/1/50	segment 6 (M/CM2)	
AF101982.1	Betainfluenzavirus influenzae - Influenza B virus (IBV), strain B/Lee/1940	segment 1 (PB2)	
AF102017.1	Betainfluenzavirus influenzae - Influenza B virus (IBV), strain B/Lee/1940	segment 3 (PA)	
AF144300.1	Alphainfluenzavirus influenzae - Influenza A virus (IAV), strain A/goose/Guangdong/1/1996(H5N1)	segment 1 (PB2)	
AF144301.1	Alphainfluenzavirus influenzae - Influenza A virus (IAV), strain A/goose/Guangdong/1/1996(H5N1)	segment 2 (PB1)	
AF144302.1	Alphainfluenzavirus influenzae - Influenza A virus (IAV), strain A/goose/Guangdong/1/1996(H5N1)	segment 3 (PA)	
AF144303.1	Alphainfluenzavirus influenzae - Influenza A virus (IAV), strain A/goose/Guangdong/1/1996(H5N1)	segment 5 (NP)	
AF144304.1	Alphainfluenzavirus influenzae - Influenza A virus (IAV), strain A/goose/Guangdong/1/1996(H5N1)	segment 6 (NA)	
AF144305.1	Alphainfluenzavirus influenzae - Influenza A virus (IAV), strain A/goose/Guangdong/1/1996(H5N1)	segment 4 (HA)	
AF144306.1	Alphainfluenzavirus influenzae - Influenza A virus (IAV), strain A/goose/Guangdong/1/1996(H5N1)	segment 7 (MP)	
