A10937.1	Human rhinovirus A89 (RV-A89)		
AB012132.1	Human parainfluenza virus 3 (HPIV-3)		
AB016162.1	Measles virus (MV)		
AB034155.1	"Influenza C virus (ICV), strain C/Yamagata/64"	segment 7 (NS)	
AB040874.1	Mumps virus (MuV)		
AB084913.1	Human parechovirus 3 (HPeV-3)		
AB126191.2	"Influenza C virus (ICV), strain C/Ann Arbor/1/50"	segment 1 (PB2)	
AB126192.2	"Influenza C virus (ICV), strain C/Ann Arbor/1/50"	segment 2 (PB1)	
AB126193.2	"Influenza C virus (ICV), strain C/Ann Arbor/1/50"	segment 3 (P3)	
AB126194.2	"Influenza C virus (ICV), strain C/Ann Arbor/1/50"	segment 4 (HEF)	
AB126195.1	"Influenza C virus (ICV), strain C/Ann Arbor/1/50"	segment 5 (NP)	
AB126196.2	"Influenza C virus (ICV), strain C/Ann Arbor/1/50"	segment 6 (M/CM2)	
AB252582.1	Human parechovirus 6 (HPeV-6)		
AB333801.2	Human adenovirus 54 (HAdV-54)		
AB426608.1	Enterovirus B98 (EV-B98)		
AB426609.1	Enterovirus B107 (EV-B107)		
AB448767.1	Human adenovirus 8 (HAdV-8)		
AB543336.1	Human parainfluenza virus 4 (HPIV-4)		
AB562586.1	Human adenovirus 15 (HAdV-15)		
AC_000006.1	Human adenovirus 17 (HAdV-17)		
AC_000008.1	Human adenovirus 5 (HAdV-5)		
AC_000017.1	Human adenovirus 1 (HAdV-1)		
AC_000018.1	Human adenovirus 7 (HAdV-7)		
AC_000019.1	Human adenovirus 35 (HAdV-35)		
AF013254.1	Human respiratory syncytial virus type B (hRSV-B)		
AF029859.2	Echovirus 1 (E1)		
AF039205.1	Coxsackievirus B6 (CV-B6)		
AF055846.1	Human parechovirus 5 (HPeV-5)		
AF081485.1	Coxsackievirus B2 (CV-B2)		
AF083069.1	Echovirus 5 (E5)		
AF101982.1	"Influenza B virus (IBV), strain B/Lee/1940"	segment 1 (PB2)	
AF102017.1	"Influenza B virus (IBV), strain B/Lee/1940"	segment 3 (PA)	
AF114383.1	Coxsackievirus B5 (CV-B5)		
AF144300.1	"Influenza A virus (IAV), strain A/goose/Guangdong/1/1996(H5N1)"	segment 1 (PB2)	
AF144301.1	"Influenza A virus (IAV), strain A/goose/Guangdong/1/1996(H5N1)"	segment 2 (PB1)	
AF144302.1	"Influenza A virus (IAV), strain A/goose/Guangdong/1/1996(H5N1)"	segment 3 (PA)	
AF144303.1	"Influenza A virus (IAV), strain A/goose/Guangdong/1/1996(H5N1)"	segment 5 (NP)	
AF144304.1	"Influenza A virus (IAV), strain A/goose/Guangdong/1/1996(H5N1)"	segment 6 (NA)	
AF144305.1	"Influenza A virus (IAV), strain A/goose/Guangdong/1/1996(H5N1)"	segment 4 (HA)	
AF144306.1	"Influenza A virus (IAV), strain A/goose/Guangdong/1/1996(H5N1)"	segment 7 (MP)	
AF144307.1	"Influenza A virus (IAV), strain A/goose/Guangdong/1/1996(H5N1)"	segment 8 (NS)	
AF157706.1	Human betaherpesvirus 6B (HuBHV6B) / Human herpesvirus 6B (HHV6B)		
AF162711.1	Echovirus 30 (E30)		
AF241359.1	Enterovirus B73 (EV-B73)		
AF304460.1	Human coronavirus 229E (HCoV-229E)		
AF317694.1	Echovirus 18 (E18)		
AF326750.2	Enterovirus A125 (EV-A125)		
AF326754.2	Enterovirus A122 (EV-A122)		
AF326759.2	Enterovirus H1 (EV-H)		
AF326761.2	Enterovirus A123 (EV-A123)		
AF326764.2	Enterovirus A124 (EV-A124)		
AF326766.2	Enterovirus J1 (EV-J1)		
AF363453.1	Enterovirus G1 (EV-G1)		
AF363455.1	Enterovirus G2 (EV-G2)		
AF371337.2	"Human metapneumovirus (HMPV), subtype A1"		
